City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,284.96,284.96,0,1.54,AR,1675532014
1,leningradskiy,69.3833,178.4167,240.35,240.35,99,2.05,RU,1675532284
2,palu,-0.8917,119.8707,297.12,297.12,99,1.14,ID,1675532290
3,puerto ayora,-0.7393,-90.3518,303.13,303.13,29,3.13,EC,1675532292
4,serafimovich,49.5786,42.736,270.08,270.08,100,4.01,RU,1675532294
5,atuona,-9.8,-139.0333,298.97,298.97,1,8.48,PF,1675532116
6,tezpur,26.6333,92.8,289.98,289.98,1,0.5,IN,1675532303
7,launceston,-41.45,147.1667,284.95,284.95,41,2.06,AU,1675532304
8,vaini,-21.2,-175.2,299.24,299.24,40,2.57,TO,1675532183
9,tabou,4.423,-7.3528,301.18,301.18,29,4.85,CI,1675532314
10,hovd,48.0056,91.6419,258.18,258.18,9,0.86,MN,1675532314
11,tuatapere,-46.1333,167.6833,291.75,291.75,100,2.83,NZ,1675532250
12,quatre cocos,-20.2078,57.7625,299.87,299.87,93,4.98,MU,1675532315
13,new norfolk,-42.7826,147.0587,286.99,286.99,82,0.89,AU,1675532241
14,punta arenas,-53.15,-70.9167,283.21,283.21,100,4.12,CL,1675532115
15,arlit,18.7369,7.3853,300.05,300.05,41,4.78,NE,1675532315
16,arraial do cabo,-22.9661,-42.0278,308.13,308.13,0,6.17,BR,1675532316
17,mwense,-10.3845,28.698,293.08,293.08,52,1.22,ZM,1675532076
18,bethel,41.3712,-73.414,264.27,264.27,0,2.06,US,1675532235
19,dikson,73.5069,80.5464,256.18,256.18,100,1.28,RU,1675532294
20,falam,22.9167,93.6833,282.07,282.07,81,2.03,MM,1675532316
21,ilhabela,-23.7781,-45.3581,303.74,303.74,97,0.74,BR,1675532317
22,barrow,71.2906,-156.7887,243.16,243.16,40,4.12,US,1675532317
23,mananjary,-21.2167,48.3333,297.21,297.21,74,2.98,MG,1675532317
24,bayonet point,28.3267,-82.6834,296.13,296.13,0,0.89,US,1675532318
25,dongsheng,39.8161,109.9776,267.58,267.58,36,3.6,CN,1675532318
26,mar del plata,-38.0023,-57.5575,298.05,298.05,0,6.26,AR,1675532106
27,rikitea,-23.1203,-134.9692,298.95,298.95,4,8.12,PF,1675532286
28,kulhudhuffushi,6.6221,73.07,300.06,300.06,97,2.01,MV,1675532319
29,na wa,17.4897,104.1006,296.42,296.42,62,1.44,TH,1675532319
30,inuvik,68.3499,-133.7218,238.63,238.63,20,2.57,CA,1675532319
31,port hawkesbury,45.6169,-61.3485,252.92,252.92,100,3.58,CA,1675532128
32,port alfred,-33.5906,26.891,297.69,297.69,34,4.02,ZA,1675532283
33,hermanus,-34.4187,19.2345,298.6,298.6,36,2.65,ZA,1675532320
34,luanda,-8.8368,13.2343,302.15,302.15,40,5.14,AO,1675532315
35,kapaa,22.0752,-159.319,296.33,296.33,100,3.6,US,1675532112
36,katsuura,35.1333,140.3,279.71,279.71,0,5.22,JP,1675532321
37,esperance,-33.8667,121.9,291.46,291.46,0,7.7,AU,1675532321
38,aykino,62.2248,49.9922,253.9,253.9,87,0.83,RU,1675532311
39,batsfjord,70.6345,29.7185,266.03,266.03,100,1.54,NO,1675532322
40,daru,-9.0763,143.2092,297.52,297.52,100,4.86,PG,1675532322
41,mataura,-46.1927,168.8643,292.94,292.94,98,2.08,NZ,1675532130
42,nyimba,-14.5566,30.8149,295.45,295.45,89,0.73,ZM,1675532323
43,ciudad bolivar,8.1222,-63.5497,306.09,306.09,88,4.71,VE,1675532299
44,luderitz,-26.6481,15.1594,291.87,291.87,19,8.67,NA,1675532323
45,severo-kurilsk,50.6789,156.125,269.74,269.74,100,3.35,RU,1675532324
46,kavieng,-2.5744,150.7967,300.31,300.31,97,3.39,PG,1675532324
47,chokurdakh,70.6333,147.9167,239.35,239.35,37,3.77,RU,1675532324
48,porto novo,6.4965,2.6036,303.05,303.05,88,5.06,BJ,1675532325
49,makakilo city,21.3469,-158.0858,295.2,295.2,0,1.54,US,1675532325
50,georgetown,5.4112,100.3354,299.12,299.12,20,0.0,MY,1675532062
51,muros,42.7762,-9.0603,284.83,284.83,0,4.19,ES,1675532326
52,torbay,47.6666,-52.7314,261.7,261.7,100,15.95,CA,1675532138
53,butaritari,3.0707,172.7902,300.6,300.6,80,8.83,KI,1675532326
54,tasiilaq,65.6145,-37.6368,269.24,269.24,95,4.62,GL,1675532219
55,harrisonville,38.6533,-94.3488,282.82,282.82,0,9.77,US,1675532326
56,kaitangata,-46.2817,169.8464,292.74,292.74,84,2.38,NZ,1675532327
57,east london,-33.0153,27.9116,298.67,298.67,0,6.69,ZA,1675532194
58,dali,25.7,100.1833,280.1,280.1,48,2.54,CN,1675532327
59,dakar,14.6937,-17.4441,303.64,303.64,80,7.26,SN,1675532328
60,hithadhoo,-0.6,73.0833,300.75,300.75,68,7.39,MV,1675532328
61,bambous virieux,-20.3428,57.7575,299.94,299.94,40,3.09,MU,1675532328
62,lagoa,39.05,-27.9833,288.34,288.34,6,6.93,PT,1675532185
63,anloga,5.7947,0.8973,301.08,301.08,49,7.0,GH,1675532329
64,alexandria,31.2156,29.9553,287.45,287.45,43,3.57,EG,1675532329
65,orcopampa,-15.2661,-72.3417,286.4,286.4,100,3.01,PE,1675532330
66,albany,42.6001,-73.9662,261.3,261.3,40,0.89,US,1675532183
67,jacareacanga,-6.2222,-57.7528,301.36,301.36,91,0.7,BR,1675532330
68,sitka,57.0531,-135.33,274.09,274.09,100,1.54,US,1675532330
69,kendrapara,20.5042,86.416,290.67,290.67,24,2.62,IN,1675532331
70,hobart,-42.8794,147.3294,287.18,287.18,100,5.14,AU,1675532250
71,kodiak,57.79,-152.4072,265.88,265.88,0,3.09,US,1675532254
72,bluff,-46.6,168.3333,290.59,290.59,98,3.92,NZ,1675532163
73,saint-leu,-21.15,55.2833,299.63,299.63,81,3.13,RE,1675532331
74,saskylakh,71.9167,114.0833,229.17,229.17,58,0.91,RU,1675532332
75,black river,18.0264,-77.8487,301.46,301.46,13,4.73,JM,1675532332
76,tilichiki,60.4667,166.1,245.67,245.67,48,3.94,RU,1675532332
